Date,Mark/Gold
1918-08-21,1.4492753623188406
1918-08-22,1.4492753623188406
1918-08-23,1.4492753623188406
1918-08-24,1.4492753623188406
1918-08-25,1.4492753623188406
1918-08-26,1.4492753623188406
1918-08-27,1.4492753623188406
1918-08-28,1.4492753623188406
1918-08-29,1.4492753623188406
1918-08-30,1.4492753623188406
1918-08-31,1.4492753623188406
1918-09-01,1.5503875968992247
1918-09-02,1.5503875968992247
1918-09-03,1.5503875968992247
1918-09-04,1.5503875968992247
1918-09-05,1.5503875968992247
1918-09-06,1.5503875968992247
1918-09-07,1.5503875968992247
1918-09-08,1.5503875968992247
1918-09-09,1.5503875968992247
1918-09-10,1.5503875968992247
1918-09-11,1.5503875968992247
1918-09-12,1.5503875968992247
1918-09-13,1.5503875968992247
1918-09-14,1.5503875968992247
1918-09-15,1.5503875968992247
1918-09-16,1.5503875968992247
1918-09-17,1.5503875968992247
1918-09-18,1.5503875968992247
1918-09-19,1.5503875968992247
1918-09-20,1.5503875968992247
1918-09-21,1.5503875968992247
1918-09-22,1.5503875968992247
1918-09-23,1.5503875968992247
1918-09-24,1.5503875968992247
1918-09-25,1.5503875968992247
1918-09-26,1.5503875968992247
1918-09-27,1.5503875968992247
1918-09-28,1.5503875968992247
1918-09-29,1.5503875968992247
1918-09-30,1.5503875968992247
1918-10-01,1.5503875968992247
1918-10-02,1.5503875968992247
1918-10-03,1.5503875968992247
1918-10-04,1.5503875968992247
1918-10-05,1.5503875968992247
1918-10-06,1.5503875968992247
1918-10-07,1.5503875968992247
1918-10-08,1.5503875968992247
1918-10-09,1.5503875968992247
1918-10-10,1.5503875968992247
1918-10-11,1.5503875968992247
1918-10-12,1.5503875968992247
1918-10-13,1.5503875968992247
1918-10-14,1.5503875968992247
1918-10-15,1.5503875968992247
1918-10-16,1.5503875968992247
1918-10-17,1.5503875968992247
1918-10-18,1.5503875968992247
1918-10-19,1.5503875968992247
1918-10-20,1.5503875968992247
1918-10-21,1.5503875968992247
1918-10-22,1.5503875968992247
1918-10-23,1.5503875968992247
1918-10-24,1.5503875968992247
1918-10-25,1.5503875968992247
1918-10-26,1.5503875968992247
1918-10-27,1.5503875968992247
1918-10-28,1.5503875968992247
1918-10-29,1.5503875968992247
1918-10-30,1.5503875968992247
1918-10-31,1.5503875968992247
1918-11-01,1.7513134851138354
1918-11-02,1.7513134851138354
1918-11-03,1.7513134851138354
1918-11-04,1.7513134851138354
1918-11-05,1.7513134851138354
1918-11-06,1.7513134851138354
1918-11-07,1.7513134851138354
1918-11-08,1.7513134851138354
1918-11-09,1.7513134851138354
1918-11-10,1.7513134851138354
1918-11-11,1.7513134851138354
1918-11-12,1.7513134851138354
1918-11-13,1.7513134851138354
1918-11-14,1.7513134851138354
